Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Dec-20,Dec-21,YTD 2020,YTD 2021,,Christiansted NHS,43,"8,128","8,085","23,816","91,200","67,384", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,City of Rocks NRES,"2,092","2,393",301,"110,203","97,376","-12,827", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Clara Barton NHS,0,0,0,450,0,-450, Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Colonial NHP,"171,985","171,983",-2,"2,946,594","3,034,104","87,510", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Colorado NM,"27,667","27,572",-95,"435,625","499,398","63,773", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Congaree NP,"14,638","17,306","2,668","119,306","215,181","95,875", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Coronado NMEM,"7,955","13,662","5,707","156,199","129,758","-26,441", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cowpens NB,"17,343","12,896","-4,447","226,903","204,811","-22,092", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Crater Lake NP,"26,100","7,180","-18,920","670,500","647,751","-22,749", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Craters of the Moon NM & PRES,"4,820","3,277","-1,543","250,872","270,830","19,958", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cumberland Gap NHP,"34,668","36,844","2,176","735,447","823,303","87,856", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cumberland Island NS,"4,284","5,052",768,"37,295","72,240","34,945", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Curecanti NRA,"20,403","40,835","20,432","921,584","1,043,725","122,141", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cuyahoga Valley NP,"123,870","114,532","-9,338","2,755,628","2,575,275","-180,353", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
